seed,mode,N,K,p_max_layers,mixer,warm_start,formulation,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers_used,duration_sec,shots,noise_p,objective,pairs_mode
20,standard,12,6,2,xy,0,mvo,0.005667786596098399,-0.007780343701441528,0.013448130297539926,0.005667786596098399,0.00012374631955207446,0,24,2,0.13279247283935547,0,0.0,cvar,all
30,standard,12,6,2,xy,0,mvo,0.005184935134935458,-0.007594810763814287,0.012779745898749743,0.005184935134935458,0.0002290848206112665,0,24,2,0.14305377006530762,0,0.0,cvar,all
10,standard,12,6,2,xy,0,mvo,-0.0038104888423087452,-0.016377773558908123,0.012567284716599379,-0.0035633544486280543,0.0,0,24,2,0.7655735015869141,512,0.01,cvar,all
20,standard,12,6,2,xy,0,mvo,0.005423582718679804,-0.007780343701441528,0.013203926420121331,0.005589861424351081,0.0,0,24,2,0.7946133613586426,512,0.01,cvar,all
30,standard,12,6,2,xy,0,mvo,0.0048488179510254165,-0.007594810763814287,0.012443628714839703,0.00527902166875746,0.0,0,24,2,0.7624292373657227,512,0.01,cvar,all
10,standard,12,6,2,xy,0,mvo,-0.0038104888423087452,-0.016377773558908123,0.012567284716599379,-0.0035633544486280543,0.0,0,24,2,0.7829358577728271,512,0.05,cvar,all
20,standard,12,6,2,xy,0,mvo,0.005423582718679804,-0.007780343701441528,0.013203926420121331,0.005589861424351081,0.0,0,24,2,0.79410719871521,512,0.05,cvar,all
30,standard,12,6,2,xy,0,mvo,0.0048488179510254165,-0.007594810763814287,0.012443628714839703,0.00527902166875746,0.0,0,24,2,0.7738330364227295,512,0.05,cvar,all
10,standard,16,8,1,x,0,mvo,0.012327646522192174,-0.024844118423671912,0.037171764945864084,0.1184776389345481,7.768048862764708e-05,16,0,1,0.8085663318634033,0,0.0,expectation,all
20,standard,16,8,1,x,0,mvo,0.9785034941942047,-0.010394533890121512,0.9888980280843261,4.89373696520876,7.694320981496777e-05,16,0,1,0.7891347408294678,0,0.0,expectation,all
30,standard,16,8,1,x,0,mvo,0.040167374781253797,-0.007447133152424049,0.047614507933677844,0.193706976300119,7.767120100899757e-05,16,0,1,0.8152825832366943,0,0.0,expectation,all
10,standard,16,8,1,xy,0,mvo,-0.01292738488296925,-0.024844118423671912,0.011916733540702662,-0.007852039118752771,0.00011059599812490505,0,16,1,0.9805386066436768,0,0.0,expectation,all
20,standard,16,8,1,xy,0,mvo,0.0009080853015601857,-0.010394533890121512,0.011302619191681698,0.0058808258838167395,3.3657655652666184e-06,0,16,1,1.0180788040161133,0,0.0,expectation,all
30,standard,16,8,1,xy,0,mvo,0.0029688482495494623,-0.007447133152424049,0.010415981401973511,0.007294495323109992,2.2864741712983784e-06,0,16,1,1.0608627796173096,0,0.0,expectation,all
10,standard,12,6,1,xy,0,mvo,-0.00836071173981912,-0.016377773558908123,0.008017061819089002,-0.0033151126732269666,0.0009765625,0,12,1,1.5219790935516357,1024,0.0,expectation,all
20,standard,12,6,1,xy,0,mvo,0.001496201918788996,-0.007780343701441528,0.009276545620230524,0.006491583165602526,0.0,0,12,1,1.4335501194000244,1024,0.0,expectation,all
30,standard,12,6,1,xy,0,mvo,0.0007518911608694329,-0.007594810763814287,0.00834670192468372,0.0056324069664074805,0.0009765625,0,12,1,1.439535140991211,1024,0.0,expectation,all
10,standard,12,6,1,xy,0,mvo,-0.00836071173981912,-0.016377773558908123,0.008017061819089002,-0.0033151126732269666,0.0,0,12,1,1.4392831325531006,1024,0.001,expectation,all
20,standard,12,6,1,xy,0,mvo,0.001496201918788996,-0.007780343701441528,0.009276545620230524,0.006491583165602526,0.0,0,12,1,1.4731242656707764,1024,0.001,expectation,all
30,standard,12,6,1,xy,0,mvo,0.0007518911608694329,-0.007594810763814287,0.00834670192468372,0.0056324069664074805,0.0009765625,0,12,1,1.4594979286193848,1024,0.001,expectation,all
