seed,mode,N,K,p_max_layers,mixer,warm_start,formulation,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers_used,duration_sec,shots,noise_p
10,adapt,22,11,2,xy,0,mvo,-0.015262399354758607,-0.0333555238791163,0.01809312452435769,-0.00896711239808385,1.4154940352968574e-06,0,2,2,45.42355990409851,0,0.0
10,standard,24,12,2,xy,0,mvo,-0.012600420381148844,-0.029984130085298412,0.01738370970414957,-0.006653823533782219,2.840082023999845e-07,0,48,2,383.9873399734497,0,0.0
10,adapt,24,12,2,xy,0,mvo,-0.012578741343863335,-0.029984130085298412,0.017405388741435077,-0.0063369007091482665,3.709536469986928e-07,0,2,2,202.05510091781616,0,0.0
10,standard,20,10,1,xy,0,mvo,-0.016171818467892573,-0.03211042287000047,0.015938604402107894,-0.009650751747298757,3.8017274055000774e-06,0,20,1,10.328927040100098,0,0.0
20,standard,20,10,1,xy,0,mvo,0.0017151901653215584,-0.01320773355009626,0.014922923715417818,0.007914313679314016,1.0352022938739464e-06,0,20,1,10.339362144470215,0,0.0
30,standard,20,10,1,xy,0,mvo,0.002601521906773727,-0.01010489821202714,0.012706420118800868,0.008178385861994378,4.398640809522373e-07,0,20,1,10.18380093574524,0,0.0
10,standard,20,10,1,xy,1,mvo,-0.016185736899965927,-0.03211042287000047,0.01592468597003454,-0.009795698784380337,6.2627913361050095e-06,0,20,1,10.33171796798706,0,0.0
20,standard,20,10,1,xy,1,mvo,0.0016970452750571174,-0.01320773355009626,0.014904778825153377,0.007836624993372409,5.0425359234745625e-06,0,20,1,10.394788980484009,0,0.0
30,standard,20,10,1,xy,1,mvo,0.0025945775126455374,-0.01010489821202714,0.012699475724672678,0.00820090394395465,3.144122294148326e-06,0,20,1,10.394795894622803,0,0.0
10,standard,16,8,1,x,0,mvo,0.012327646522192176,-0.024844118423671912,0.03717176494586409,0.11847763893454809,7.768048862764708e-05,16,0,1,0.13913321495056152,0,0.0
20,standard,16,8,1,x,0,mvo,0.9785034941942047,-0.010394533890121509,0.9888980280843261,4.89373696520876,7.694320981496777e-05,16,0,1,0.13881897926330566,0,0.0
30,standard,16,8,1,x,0,mvo,0.040167374781253797,-0.007447133152424047,0.047614507933677844,0.193706976300119,7.767120100899757e-05,16,0,1,0.14006614685058594,0,0.0
10,standard,16,8,1,xy,0,mvo,-0.01292738488296925,-0.024844118423671912,0.011916733540702662,-0.007852039118752775,0.00011059599812490501,0,16,1,0.1615910530090332,0,0.0
20,standard,16,8,1,xy,0,mvo,0.0009080853015601853,-0.010394533890121509,0.011302619191681695,0.005880825883816737,3.365765565266615e-06,0,16,1,0.16150522232055664,0,0.0
30,standard,16,8,1,xy,0,mvo,0.002968848249549463,-0.007447133152424047,0.010415981401973511,0.007294495323109994,2.2864741712983805e-06,0,16,1,0.16231107711791992,0,0.0
10,standard,16,8,1,qampa,0,mvo,-0.012917436203678254,-0.024844118423671912,0.011926682219993658,-0.007834034209267328,9.06340070986055e-05,0,16,1,0.1822347640991211,0,0.0
20,standard,16,8,1,qampa,0,mvo,0.000920453803102518,-0.010394533890121509,0.011314987693224027,0.006048255451809061,3.138298500507725e-06,0,16,1,0.18229293823242188,0,0.0
30,standard,16,8,1,qampa,0,mvo,0.0029832212520409986,-0.007447133152424047,0.010430354404465046,0.008044505446006269,2.0459580597311133e-05,0,16,1,0.18188714981079102,0,0.0
10,standard,12,6,1,xy,0,mvo,-0.00836071173981912,-0.016377773558908123,0.008017061819089002,-0.0033151126732269666,0.0009765625,0,12,1,1.3173980712890625,1024,0.0
20,standard,12,6,1,xy,0,mvo,0.001496201918788996,-0.007780343701441526,0.009276545620230522,0.006491583165602525,0.0,0,12,1,1.3196830749511719,1024,0.0
30,standard,12,6,1,xy,0,mvo,0.0007518911608694336,-0.007594810763814287,0.00834670192468372,0.00563240696640748,0.0009765625,0,12,1,1.3136651515960693,1024,0.0
10,standard,12,6,1,xy,0,mvo,0.38239009325472156,-0.016377773558908123,0.3987678668136297,6.858908872198258,0.0,0,12,1,1.437417984008789,1024,0.001
20,standard,12,6,1,xy,0,mvo,0.48971811316090796,-0.007780343701441526,0.4974984568623495,9.320259576816797,0.0,0,12,1,1.4299421310424805,1024,0.001
30,standard,12,6,1,xy,0,mvo,0.4890585829028682,-0.007594810763814287,0.4966533936666825,6.378203270013913,0.001953125,0,12,1,1.4263019561767578,1024,0.001
10,standard,12,6,1,xy,0,mvo,4.679181970343616,-0.016377773558908123,4.695559743902524,30.38748015255482,0.0,0,12,1,1.4324541091918945,1024,0.005
20,standard,12,6,1,xy,0,mvo,4.2986442833504235,-0.007780343701441526,4.306424627051865,34.80902738328561,0.0,0,12,1,1.4351160526275635,1024,0.005
30,standard,12,6,1,xy,0,mvo,4.102656063396556,-0.007594810763814287,4.1102508741603705,31.377047467450286,0.001953125,0,12,1,1.4337069988250732,1024,0.005
10,standard,12,6,1,xy,0,mvo,8.878580271152643,-0.016377773558908123,8.89495804471155,62.73887778919233,0.0009765625,0,12,1,1.4351069927215576,1024,0.01
20,standard,12,6,1,xy,0,mvo,9.181466559209616,-0.007780343701441526,9.189246902911057,63.72952863232009,0.0,0,12,1,1.4322938919067383,1024,0.01
30,standard,12,6,1,xy,0,mvo,9.180720609157998,-0.007594810763814287,9.188315419921812,55.39600828934531,0.001953125,0,12,1,1.4326012134552002,1024,0.01
10,standard,12,6,1,xy,0,mvo,21.378530341482477,-0.016377773558908123,21.394908115041385,115.67819794367333,0.0,0,12,1,1.4275860786437988,1024,0.02
20,standard,12,6,1,xy,0,mvo,19.435255151389384,-0.007780343701441526,19.443035495090825,111.76663854812402,0.0,0,12,1,1.4294631481170654,1024,0.02
30,standard,12,6,1,xy,0,mvo,18.848481830909485,-0.007594810763814287,18.856076641673297,106.8646607039945,0.001953125,0,12,1,1.4391450881958008,1024,0.02
10,standard,12,6,1,xy,0,mvo,47.5502873361848,-0.016377773558908123,47.56666510974371,184.79811481572506,0.0,0,12,1,1.4350051879882812,1024,0.05
20,standard,12,6,1,xy,0,mvo,49.220332964178645,-0.007780343701441526,49.228113307880086,182.35700652646284,0.0,0,12,1,1.4322466850280762,1024,0.05
30,standard,12,6,1,xy,0,mvo,49.80558758803379,-0.007594810763814287,49.8131823987976,175.98397816695535,0.0009765625,0,12,1,1.4328758716583252,1024,0.05
10,standard,12,6,1,xy,0,mvo,96.18323267839624,-0.016377773558908123,96.19961045195515,297.54286449385717,0.0,0,12,1,1.4376699924468994,1024,0.1
20,standard,12,6,1,xy,0,mvo,98.43895305970638,-0.007780343701441526,98.44673340340782,344.6112160336388,0.0,0,12,1,1.43989896774292,1024,0.1
30,standard,12,6,1,xy,0,mvo,96.87585136393156,-0.007594810763814287,96.88344617469538,336.76791600473456,0.0009765625,0,12,1,1.4296369552612305,1024,0.1
10,standard,12,6,1,xy,0,mvo,135.73408017814444,-0.016377773558908123,135.75045795170334,535.2864602190624,0.0,0,12,1,1.4392361640930176,1024,0.15
20,standard,12,6,1,xy,0,mvo,141.99416246687542,-0.007780343701441526,142.00194281057688,544.6106695630732,0.0,0,12,1,1.4281351566314697,1024,0.15
30,standard,12,6,1,xy,0,mvo,142.5792907975595,-0.007594810763814287,142.5868856083233,508.33452301937047,0.0,0,12,1,1.4322288036346436,1024,0.15
10,standard,12,6,1,xy,0,mvo,170.30449996626982,-0.016377773558908123,170.32087773982872,626.9543554435128,0.0,0,12,1,1.432203769683838,1024,0.2
20,standard,12,6,1,xy,0,mvo,176.0759924222422,-0.007780343701441526,176.08377276594365,637.7486032265351,0.0,0,12,1,1.4350311756134033,1024,0.2
30,standard,12,6,1,xy,0,mvo,181.6415943884218,-0.007594810763814287,181.6491891991856,629.4139366536318,0.0,0,12,1,1.431739091873169,1024,0.2
10,standard,12,6,1,xy,0,mvo,201.45674593086548,-0.016377773558908123,201.47312370442438,688.7193782391261,0.0,0,12,1,1.4449129104614258,1024,0.25
20,standard,12,6,1,xy,0,mvo,207.03316898105726,-0.007780343701441526,207.0409493247587,698.532938954401,0.0,0,12,1,1.4343531131744385,1024,0.25
30,standard,12,6,1,xy,0,mvo,213.18461420816882,-0.007594810763814287,213.19220901893263,715.1986466937187,0.0,0,12,1,1.4358899593353271,1024,0.25
