mode,N,K,p_or_layers,mixer,warm_start,formulation,alpha,lam_tc,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers,duration_sec,solver_used,shots,noise_p,noise_model,objective,pairs
standard,12,6,5,xy,1,mvo,0.2,0.1,5.122488527273793,-0.012274187829634312,5.134762715103427,25.63741312592647,0.0045873897033613135,0,60,,0.2455129623413086,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,xy,1,mad,0.2,0.1,5.123384745882298,0.0024528233337534973,5.120931922548545,25.602243750357324,0.00022154034640758257,0,60,,0.2618238925933838,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,xy,1,mvo_tc,0.2,0.1,5.123664050811513,-0.011806842297822497,5.135470893109336,25.64101888535881,0.00014462226303869332,0,60,,0.24207592010498047,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,x,0,mvo,0.2,0.1,262.10500789855314,-0.012274187829634312,262.1172820863828,740.22108057249,4.146302824584066e-06,60,0,,0.09793305397033691,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,x,0,mad,0.2,0.1,261.35764090759835,0.0024528233337534973,261.3551880842646,737.2969898466392,4.378356569123299e-06,60,0,,0.13911199569702148,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,x,0,mvo_tc,0.2,0.1,262.1043327860377,-0.011806842297822497,262.1161396283355,740.2177868718333,4.1442291150666e-06,60,0,,0.11490893363952637,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,x,1,mvo,0.2,0.1,262.10410431338516,-0.012274187829634312,262.1163785012148,740.2193457751836,3.911560093328375e-06,60,0,,0.10193824768066406,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,x,1,mad,0.2,0.1,261.3568564152579,0.0024528233337534973,261.35440359192415,737.2951480969425,4.145822511147346e-06,60,0,,0.12893295288085938,bruteforce,0,0.001,depolarizing,expectation,
standard,12,6,5,x,1,mvo_tc,0.2,0.1,262.10342538963965,-0.011806842297822497,262.11523223193745,740.2160480073013,3.92234179356897e-06,60,0,,0.10809707641601562,bruteforce,0,0.001,depolarizing,expectation,
standard,14,6,1,xy,0,mvo,0.2,0.1,0.4439936227413665,-0.014358380948626993,0.4583520036899935,2.2481002892394226,0.0008169418564595489,0,14,,0.33835792541503906,bruteforce,0,0.001,depolarizing,expectation,
standard,14,6,1,xy,0,mad,0.2,0.1,0.45362161865288986,0.001919765328963468,0.45170185332392637,2.254353676724026,0.000332942579795719,0,14,,0.48577880859375,bruteforce,0,0.001,depolarizing,expectation,
standard,14,6,1,xy,0,mvo_tc,0.2,0.1,0.4445595591293712,-0.013893578629590585,0.45845313775896174,2.2487336589953815,0.0008171824796420819,0,14,,0.39697909355163574,bruteforce,0,0.001,depolarizing,expectation,
standard,14,6,1,xy,1,mvo,0.2,0.1,1.5409512114651438,-0.014358380948626993,1.5553095924137708,7.732362861540166,0.0003404208540476936,0,14,,0.1250302791595459,bruteforce,0,0.001,depolarizing,expectation,
standard,14,6,1,xy,1,mad,0.2,0.1,1.5505300542316829,0.001919765328963468,1.5486102889027193,7.738863651754159,0.0003388302143774808,0,14,,0.26294398307800293,bruteforce,0,0.001,depolarizing,expectation,
standard,14,6,1,xy,1,mvo_tc,0.2,0.1,1.541519373753924,-0.013893578629590585,1.5554129523835145,7.732984220867848,0.00034042569240179854,0,14,,0.18830275535583496,bruteforce,0,0.001,depolarizing,expectation,
standard,14,6,1,x,0,mvo,0.2,0.1,0.5227272875588946,-0.014358380948626993,0.5370856685075216,2.6414011887523405,0.00033246632124373914,14,0,,0.06419491767883301,bruteforce,0,0.001,depolarizing,expectation,
standard,14,6,1,x,0,mad,0.2,0.1,0.5323366474978803,0.001919765328963468,0.5304168821689169,2.647926909248731,0.0003324663210791403,14,0,,0.20345520973205566,bruteforce,0,0.001,depolarizing,expectation,
standard,14,6,1,x,0,mvo_tc,0.2,0.1,0.5232941129264131,-0.013893578629590585,0.5371876915560038,2.6420183658570906,0.0003324663212511267,14,0,,0.12383699417114258,bruteforce,0,0.001,depolarizing,expectation,
